Date,Time,accel_x,accel_y,accel_z
2022-09-03,23:35:16,-1.838746905,3.543418407,9.126696587
2022-09-03,23:35:31,1.110909581,1.810016513,9.634267807
2022-09-03,23:35:47,8.829815865,0.8331822157,4.663905144
2022-09-03,23:36:52,-0.8523358107,-0.1244984865,9.787496567
2022-09-03,23:37:44,-0.9002198577,-0.09576806426,9.835380554
2022-09-03,23:38:03,-0.8714894056,-0.1149216816,9.797073364
2022-09-03,23:39:03,-0.3734954596,0.4596867263,9.864110947
2022-09-03,23:42:34,-0.3543418646,0.4788403511,9.911994934
2022-09-03,23:44:58,-0.6033388376,0.1628057212,9.806650162
2022-09-03,23:46:16,-0.6224924326,0.1628057212,9.864110947
2022-09-03,23:49:46,-0.6416460276,0.1723825186,9.902418137
2022-09-03,23:55:28,-0.6129156351,0.1053448766,9.921571732
2022-09-04,00:00:44,-0.6224924326,0.1244984865,9.854534149
2022-09-04,00:05:07,-0.5937620401,0.1436520964,9.844957352
2022-09-04,00:05:38,-0.6320692301,0.1436520964,9.825803757
2022-09-04,00:08:13,-0.6033388376,0.1532289088,9.835380554
2022-09-04,00:11:26,-0.6416460276,0.1244984865,9.777919769
2022-09-04,00:11:42,0.3926490843,7.240066051,6.579266071
2022-09-04,00:11:57,0.9768342972,0.6607996821,9.835380554
2022-09-04,00:12:12,-0.5363011956,-0.03830722719,9.864110947
2022-09-04,00:12:27,-0.5363011956,0.04788403213,9.883264542
2022-09-04,00:12:42,-0.5937620401,-0.0287304204,9.902418137
2022-09-04,00:13:49,-0.6129156351,-0.009576806799,9.892841339
2022-09-04,00:15:11,-0.5841852427,0.03830722719,9.864110947
2022-09-04,00:17:32,-0.6320692301,0.0191536136,9.844957352
2022-09-04,00:19:21,-0.6224924326,0.04788403213,9.864110947
2022-09-04,00:32:03,-0.6033388376,0.05746084079,9.844957352
2022-09-04,00:41:15,-0.5458779931,-0.0191536136,9.806650162
2022-09-04,00:51:36,-0.6224924326,0.03830722719,9.892841339
2022-09-04,00:54:23,-0.5841852427,-0.05746084079,9.806650162
2022-09-04,00:57:57,-0.5458779931,0.05746084079,9.854534149
2022-09-04,01:02:37,-0.5363011956,0.0287304204,9.816226959
2022-09-04,01:07:50,-0.6512228847,0.0191536136,9.844957352
2022-09-04,01:12:10,-0.5841852427,0.0191536136,9.854534149
2022-09-04,01:14:03,-0.5554547906,0.0191536136,9.902418137
2022-09-04,01:14:20,-0.5458779931,-0.009576806799,9.806650162
2022-09-04,01:14:35,-0.5554547906,0.03830722719,9.883264542
2022-09-04,01:14:50,-0.5650315881,0.0191536136,9.758766174
2022-09-04,01:15:05,-0.5075707436,0,9.864110947
2022-09-04,01:15:20,-0.6129156351,0,9.835380554
2022-09-04,01:15:35,-0.6224924326,0.0287304204,9.883264542
2022-09-04,01:15:50,-0.517147541,0.05746084079,9.873687744
2022-09-04,01:16:05,-0.6607996821,0.0191536136,9.835380554
2022-09-04,01:16:20,-0.6033388376,0.06703764945,9.902418137
2022-09-04,01:16:35,-0.5650315881,0,9.835380554
2022-09-04,01:16:50,-0.6895300746,-0.009576806799,9.787496567
2022-09-04,01:17:05,-0.5650315881,0.0191536136,9.940725327
2022-09-04,01:17:20,-0.5650315881,0.05746084079,9.854534149
2022-09-04,01:17:36,-0.517147541,0.04788403213,9.835380554
2022-09-04,01:17:51,-0.6224924326,0.0287304204,9.825803757
2022-09-04,01:18:06,-0.5554547906,0.06703764945,9.844957352
2022-09-04,01:18:21,-0.6129156351,0.009576806799,9.854534149
2022-09-04,01:18:36,-0.5841852427,0.07661445439,9.873687744
2022-09-04,01:18:51,-0.5458779931,0.0191536136,9.902418137
2022-09-04,01:19:06,-0.6224924326,0.0287304204,9.883264542
2022-09-04,01:19:21,-0.6607996821,0,9.825803757
2022-09-04,01:19:36,-0.5937620401,0.06703764945,9.825803757
2022-09-04,01:19:51,-0.5650315881,0,9.835380554
2022-09-04,01:20:06,-0.6033388376,0.0287304204,9.797073364
2022-09-04,01:20:21,-0.6607996821,-0.009576806799,9.892841339
2022-09-04,01:20:36,-0.5363011956,0,9.892841339
2022-09-04,01:20:51,-0.5458779931,0.06703764945,9.873687744
2022-09-04,01:21:06,0.2394201756,0.5841852427,9.854534149
2022-09-04,01:21:21,-0.5746083856,0.0191536136,9.825803757
2022-09-04,01:21:36,-0.5458779931,-0.009576806799,9.806650162
2022-09-04,01:21:51,-0.5746083856,-0.009576806799,9.892841339
2022-09-04,01:22:06,-0.5267243981,-0.0191536136,9.844957352
2022-09-04,01:22:21,-0.5363011956,0.06703764945,9.892841339
2022-09-04,01:22:36,-0.5458779931,0.04788403213,9.825803757
2022-09-04,01:23:21,0.2968810201,-0.06703764945,9.892841339
2022-09-04,01:23:36,0.3351882398,-0.07661445439,9.931148529
2022-09-04,01:23:52,0.3926490843,-0.0191536136,9.864110947
2022-09-04,01:24:07,0.3639186621,-0.04788403213,9.864110947
2022-09-04,01:24:22,0.2968810201,-0.09576806426,9.864110947
2022-09-04,01:24:37,4.23294878,2.767697096,8.954314232
2022-09-04,01:24:52,1.398213744,4.797980309,8.159439087
2022-09-04,01:25:07,1.532289028,4.989516258,8.743624687
2022-09-04,01:25:22,2.078166962,4.46279192,8.370129585
2022-09-04,01:25:37,1.675941229,5.506663799,8.025363922
2022-09-04,01:25:52,1.359906554,5.793968201,7.7284832
2022-09-04,01:26:07,1.350329757,5.363011837,7.891288757
2022-09-04,01:26:24,0.4979939461,-0.6129156351,9.902418137
2022-09-04,01:27:06,0.6129156351,-0.5937620401,9.844957352
2022-09-04,01:27:57,0.5267243981,-0.6512228847,9.854534149
2022-09-04,01:28:40,0.5267243981,-0.5650315881,9.854534149
2022-09-04,01:32:01,0.5363011956,-0.5650315881,9.835380554
2022-09-04,01:34:46,0.8906430602,5.152322292,6.904877663
2022-09-04,01:35:01,1.015141487,5.612008572,8.063671112
2022-09-04,01:35:16,0.7374141216,5.707777023,7.948749542
2022-09-04,01:35:31,0.8331822157,5.257667065,8.312667847
2022-09-04,01:35:46,2.097320795,4.654327869,7.891288757
2022-09-04,01:36:19,0.8044517636,-0.2298433632,9.892841339
2022-09-04,01:38:51,0.7757213712,-0.181959331,9.825803757
2022-09-04,01:39:09,0.7469909191,-0.2011129409,9.864110947
2022-09-04,01:39:28,0.7469909191,-0.2202665508,9.835380554
2022-09-04,01:39:55,0.7757213712,-0.2202665508,9.835380554
2022-09-04,01:48:02,0.6991068721,-0.2298433632,9.844957352
2022-09-04,01:50:01,-1.388636947,-0.9002198577,9.787496567
2022-09-04,01:50:16,8.791508675,-0.1149216816,5.717353821
2022-09-04,01:50:31,8.973467827,-0.2202665508,4.185064793
2022-09-04,01:50:46,9.854534149,-0.7086837292,2.365471363
2022-09-04,01:51:01,9.35654068,-0.08619125932,3.801992416
