Date,Open,High,Low,Close,Adj Close,Volume
2020-04-20,69.487503,70.419998,69.212502,69.232498,67.986496,130015200
2020-04-21,69.070000,69.312500,66.357498,67.092499,65.885017,180991600
2020-04-22,68.402496,69.474998,68.050003,69.025002,67.782730,116862400
2020-04-23,68.967499,70.437500,68.717499,68.757500,67.520058,124814400
2020-04-24,69.300003,70.752502,69.250000,70.742500,69.469330,126161200
2020-04-27,70.449997,71.135002,69.987503,70.792503,69.518417,117087600
2020-04-28,71.269997,71.457497,69.550003,69.644997,68.391571,112004800
2020-04-29,71.182503,72.417503,70.972504,71.932503,70.637901,137280800
2020-04-30,72.489998,73.632500,72.087502,73.449997,72.128090,183064000
2020-05-01,71.562500,74.750000,71.462502,72.267502,70.966873,240616800
2020-05-04,72.292503,73.422501,71.580002,73.290001,71.970970,133568000
2020-05-05,73.764999,75.250000,73.614998,74.389999,73.051178,147751200
2020-05-06,75.114998,75.809998,74.717499,75.157501,73.804863,142333600
2020-05-07,75.805000,76.292503,75.492500,75.934998,74.568375,115215200
2020-05-08,76.410004,77.587502,76.072502,77.532501,76.343224,133838400
2020-05-11,77.025002,79.262497,76.809998,78.752502,77.544510,145946400
2020-05-12,79.457497,79.922501,77.727501,77.852501,76.658318,162301200
2020-05-13,78.037498,78.987503,75.802498,76.912498,75.732719,200622400
2020-05-14,76.127502,77.447502,75.382500,77.385002,76.197983,158929200
2020-05-15,75.087502,76.974998,75.052498,76.927498,75.747505,166348400
2020-05-18,78.292503,79.125000,77.580002,78.739998,77.532181,135178400
2020-05-19,78.757500,79.629997,78.252502,78.285004,77.084175,101729600
2020-05-20,79.169998,79.879997,79.129997,79.807503,78.583321,111504800
2020-05-21,79.665001,80.222504,78.967499,79.212502,77.997452,102688800
2020-05-22,78.942497,79.807503,78.837502,79.722504,78.499641,81803200
2020-05-26,80.875000,81.059998,79.125000,79.182503,77.967918,125522000
2020-05-27,79.035004,79.677498,78.272499,79.527496,78.307602,112945200
2020-05-28,79.192497,80.860001,78.907501,79.562500,78.342087,133560800
2020-05-29,79.812500,80.287498,79.117500,79.485001,78.265770,153532400
2020-06-01,79.437500,80.587502,79.302498,80.462502,79.228287,80791200
2020-06-02,80.187500,80.860001,79.732498,80.834999,79.595062,87642800
2020-06-03,81.165001,81.550003,80.574997,81.279999,80.033226,104491200
2020-06-04,81.097504,81.404999,80.195000,80.580002,79.343979,87560400
2020-06-05,80.837502,82.937500,80.807503,82.875000,81.603767,137250400
2020-06-08,82.562500,83.400002,81.830002,83.364998,82.086243,95654400
2020-06-09,83.035004,86.402496,83.002502,85.997498,84.678368,147712400
2020-06-10,86.974998,88.692497,86.522499,88.209999,86.856934,166651600
2020-06-11,87.327499,87.764999,83.870003,83.974998,82.686890,201662400
2020-06-12,86.180000,86.949997,83.555000,84.699997,83.400764,200146000
2020-06-15,83.312500,86.419998,83.144997,85.747498,84.432198,138808800
2020-06-16,87.864998,88.300003,86.180000,88.019997,86.669838,165428800
2020-06-17,88.787498,88.849998,87.772499,87.897499,86.549210,114406400
2020-06-18,87.852501,88.362503,87.305000,87.932503,86.583694,96820400
2020-06-19,88.660004,89.139999,86.287498,87.430000,86.088905,264476000
2020-06-22,87.834999,89.864998,87.787498,89.717499,88.341316,135445200
2020-06-23,91.000000,93.095001,90.567497,91.632500,90.226929,212155600
2020-06-24,91.250000,92.197502,89.629997,90.014999,88.634247,192623200
2020-06-25,90.175003,91.250000,89.392502,91.209999,89.810913,137522400
2020-06-26,91.102501,91.330002,88.254997,88.407501,87.051414,205256800
2020-06-29,88.312500,90.542503,87.820000,90.445000,89.057648,130646000
2020-06-30,90.019997,91.495003,90.000000,91.199997,89.801056,140223200
2020-07-01,91.279999,91.839996,90.977501,91.027496,89.631203,110737200
2020-07-02,91.962502,92.617500,90.910004,91.027496,89.631203,114041600
2020-07-06,92.500000,93.945000,92.467499,93.462502,92.028870,118655600
2020-07-07,93.852501,94.654999,93.057503,93.172501,91.743317,112424400
2020-07-08,94.180000,95.375000,94.089996,95.342499,93.880020,117092000
2020-07-09,96.262497,96.317497,94.672501,95.752502,94.283730,125642800
2020-07-10,95.334999,95.980003,94.705002,95.919998,94.448662,90257200
2020-07-13,97.264999,99.955002,95.257500,95.477501,94.012939,191649200
2020-07-14,94.839996,97.254997,93.877502,97.057503,95.568726,170989200
2020-07-15,98.989998,99.247498,96.489998,97.724998,96.225990,153198000
2020-07-16,96.562500,97.404999,95.904999,96.522499,95.041939,110577600
2020-07-17,96.987503,97.147499,95.839996,96.327499,94.849922,92186800
2020-07-20,96.417503,98.500000,96.062500,98.357498,96.848770,90318000
2020-07-21,99.172501,99.250000,96.742500,97.000000,95.512108,103433200
2020-07-22,96.692497,97.974998,96.602501,97.272499,95.780418,89001600
2020-07-23,96.997498,97.077499,92.010002,92.845001,91.420830,197004400
2020-07-24,90.987503,92.970001,89.144997,92.614998,91.194359,185438800
2020-07-27,93.709999,94.904999,93.480003,94.809998,93.355690,121214000
2020-07-28,94.367500,94.550003,93.247498,93.252502,91.822098,103625600
2020-07-29,93.750000,95.230003,93.712502,95.040001,93.582169,90329200
2020-07-30,94.187500,96.297501,93.767502,96.190002,94.714531,158130000
2020-07-31,102.885002,106.415001,100.824997,106.260002,104.630074,374336800
2020-08-03,108.199997,111.637497,107.892502,108.937500,107.266495,308151200
2020-08-04,109.132500,110.790001,108.387497,109.665001,107.982834,173071600
2020-08-05,109.377502,110.392502,108.897499,110.062500,108.374237,121776800
2020-08-06,110.404999,114.412498,109.797501,113.902496,112.155327,202428800
2020-08-07,113.205002,113.675003,110.292503,111.112503,109.605392,198045600
2020-08-10,112.599998,113.775002,110.000000,112.727501,111.198486,212403600
2020-08-11,111.970001,112.482498,109.107498,109.375000,107.891464,187902400
2020-08-12,110.497498,113.275002,110.297501,113.010002,111.477165,165598000
2020-08-13,114.430000,116.042503,113.927498,115.010002,113.450035,210082000
